category,Risk,txt,bullet1,bullet2,bullet3,ref
I. Participant,Vulnerable population,"These participants may include children or teenagers, healthy volunteers, students, pregnant women, geriatric participants (over 80 years), those with cognitive or psychological disorders, immigrants, prisoners, etc.",Impact: this depends on the study and type of vulnerable persons. E.g. a study with electronic questionnaires could be highly affected if the population is geriatric and is not familiar with using electronic devices (score = high).,"Occurrence: e.g. if the study population is constituted of half adults and half children, the occurrence should be scored occasional.","Detectability: this should be quite easy to detect, as the monitor has full access to the Informed Consent Form (ICF), (score = simple).",I_vuln
I. Participant,Emergency situation,"Consider if problems may occur with informed consent, assessment of eligibility criteria, immediate trial-related processes (such as diagnosis and therapy). “Emergency” is defined as necessity of immediate start of therapy (<12h), irrespective of the severity of the disorder.",Impact: this depends on the study design.,"Occurrence: e.g. if 100% of the study participants are enrolled in emergency settings, the occurrence should be score = frequent.",Detectability: this should be fairly easy to detect as the monitor has full access to the ICF (score = simple).,I_emsit
I. Participant,Complexity of consent process,Consider if there are multiple ICFs (such as pre-screening or sub-studies).,"Impact: e.g. if a pre-screening consent is necessary, the impact should be scored high.","Occurrence: e.g. if 100% of the study participants are supposed to be enrolled in sub-studies, the occurrence should be scored frequent.","Detectability: this should be fairly easy to detect, as the monitor has full access to the ICF (score = simple).",I_comp
II. Design complexity,Complexity of eligibility criteria,"Consider the number of criteria, ability to verify them, critical criteria (safety-relevant, relevant for the effectiveness of the therapy, relevant for the validity of the results), population stratification, documentation required for diagnosis, central vs. local laboratory, timelines of assessment, special tests/assessments for eligibility evaluation not routinely performed, etc.","Impact: the more the eligibility criterion is related to the endpoint or participant’s safety/rights, the higher the score should be.",Occurrence: this depends on the number of complex criteria.,"Detectability: e.g. if the criterion concerns a medication taken by the participant over the past 20 years, then score = 3; if the medication was taken in the past 2 days, then score = 1 (easy to detect).",II_comp
II. Design complexity,Complexity of design,"Consider number of arms, adaptive design, randomisation, number of visits, dose, complicated or unusual procedures, study duration, strict timing for certain procedures, number of sites or centres, etc. Is it likely that the participant/investigator will not adhere to the treatment schedule?",Impact: e.g. a study with an adaptive design should have a high impact on the participant’s safety (score = high).,"Occurrence: e.g. in a study with two groups, one with a simple design, and the other with a complex design, score = occasion.","Detectability: e.g. in a dose escalation design, this RF should be easy to detect (score = simple).",II_descomp
II. Design complexity,Complexity of primary endpoint,"Consider the robustness of the endpoint (objective/participantive, soft), if its assessment is complex or not standard (e.g. composite endpoint), and if special requirements are needed for its assessment.",Impact: this should often be scored high.,Occurrence: this should often be scored frequent.,"Detectability: e.g. a composite primary endpoint should be scored difficult, since each of its components could constitute a source of error. A primary endpoint obtained by imaging measurements should be scored difficult, if special skills are required to verify it.",II_primcomp
II. Design,Bias impacting the primary endpoint,"Consider if there are any sources of bias or variance with regard to the endpoints. This can happen, for instance, if the trial is not randomised or is open label.","Impact: this depends on the design, e.g. for an unblinded study, in which the primary endpoint is the Physician Global Assessment, impact should be scored high.","Occurrence: if bias is supposed to occur in 100% of the cases, this should be scored frequent.",Detectability: this depends on the bias.,II_primbias
II. Design,Additional treatment for concomitant diseases/symptoms,"Consider if the study population is likely to receive additional treatment for concomitant diseases (with input from a medical doctor required), and if this could affect the (efficacy) endpoints.","Impact: this depends on the study, e.g. if the endpoint is pain level in a population with chronic pain conditions, additional treatment could have a strong impact on the quality of data (score = high).","Occurrence: e.g. if 100% of the participants are supposed to receive additional treatment, then score = frequent.","Detectability: e.g. if the participants use a lot of over-the-counter medications, this will be difficult to detect for the monitor (score = difficult).",II_trtconcom
II. Design,Complexity of procedures,Consider unusual procedures.,"Impact: e.g. if the study implies a large number of visits lasting long hours with unusual procedures, this could burden the participant’s participation and the impact should be high.",Occurrence: this should often be scored frequent.,Detectability: this depends on the study.,II_proccomp
II. Design,Withdrawal/drop-outs,"Is there an increased risk of withdrawal or drop-out? E.g. might participants withdraw from therapy or follow-up, as a result of very positive (or negative) therapeutic effects? Consider the possibility of noncompliance or withdrawal of consent. How is this taken into account in the trial design? In trials focusing on efficacy differences, drop-outs could bias the results. Consider participant compliance in case of self-treatment administration.","Impact: e.g. score = high if the study design could encourage a large number of withdrawal/drop-outs, except if their number is already included in the sample size calculation and is realistic, or if it is planned to replace withdrawal/drop-outs (then score = low).",Occurrence: make an estimate.,Detectability: this should often be simple.,II_withdraw
